Id,Reputation
"87456","3"
"87457","101"
"87459","1"
"87460","101"
"87461","18"
"87463","3"
"87464","101"
"87465","101"
"87466","1"
"87467","101"
"87468","101"
"87469","1"
"87470","1"
"87471","101"
"87472","1"
"87473","1"
"87474","1"
"87475","101"
"87476","1"
"87477","1"
"87478","97"
"87479","1"
"87480","1"
"87481","101"
"87482","1"
"87483","1"
"87484","1"
"87485","1"
"87486","101"
"87487","196"
"87489","11"
"87490","1"
"87491","4"
"87492","101"
"87493","118"
"87494","101"
"87495","101"
"87496","101"
"87498","101"
"87499","1"
"87500","101"
"87501","101"
"87502","1"
"87503","1"
"87504","1"
"87506","26"
"87507","101"
"87508","101"
"87510","101"
"87511","1"
"87512","94"
"87513","8"
"87514","101"
"87515","101"
"87517","101"
"87518","101"
"87519","1"
"87520","101"
"87521","13"
"87522","1"
"87523","101"
"87524","21"
"87525","1"
"87527","101"
"87528","1"
"87530","101"
"87531","1"
"87532","1"
"87533","6"
"87534","1"
"87535","1"
"87536","1"
"87537","1"
"87538","1"
"87539","1"
"87541","101"
"87542","1"
"87543","1"
"87544","28"
"87545","101"
"87546","1"
"87547","101"
"87548","1"
"87549","101"
"87550","101"
"87551","106"
"87552","1"
"87554","1"
"87555","1"
"87556","1"
"87557","1"
"87560","1"
"87561","490"
"87562","101"
"87564","1"
"87565","101"
"87566","1"
"87567","1"
"87568","111"
"87569","1"
"87570","101"
"87571","11"
"87572","123"
"87574","101"
"87575","106"
"87576","101"
"87577","1"
"87578","1"
"87579","1"
"87580","101"
"87581","1"
"87582","1"
"87583","1"
"87585","1"
"87587","101"
"87588","101"
"87589","1"
"87590","142"
"87591","1"
"87592","11"
"87593","1"
"87594","101"
"87595","23"
"87596","1"
"87597","101"
"87599","101"
"87600","101"
"87601","101"
"87602","6"
"87603","101"
"87604","1"
"87605","101"
"87606","1"
"87607","1"
"87608","1"
"87610","148"
"87611","1"
"87612","1"
"87613","1"
"87614","1"
"87615","1"
"87616","1"
"87619","108"
"87620","110"
"87622","1"
"87623","6"
"87624","1"
"87625","1"
"87628","1"
"87629","1"
"87630","101"
"87631","146"
"87632","101"
"87633","101"
"87634","1"
"87635","1"
"87636","6"
"87637","101"
"87638","1"
"87639","1"
"87640","101"
"87641","1"
"87643","1"
"87645","1"
"87646","101"
"87650","1"
"87652","1"
"87653","1"
"87654","101"
"87655","44"
"87657","1"
"87658","1"
"87659","1"
"87660","101"
"87661","101"
"87662","1"
"87663","1"
"87664","1"
"87665","11"
"87666","1"
"87667","1"
"87669","101"
"87670","101"
"87671","101"
"87672","101"
"87673","1"
"87674","1"
"87675","101"
"87676","1"
"87677","1"
"87678","101"
"87679","11"
"87681","1"
"87682","1"
"87683","1"
"87684","1"
"87685","6"
"87686","1"
"87687","101"
"87688","6"
"87689","1"
"87690","1"
"87691","1"
"87692","101"
"87693","101"
"87694","1"
"87695","101"
"87696","101"
"87697","3"
"87698","1"
"87699","1"
"87700","39"
"87701","101"
"87703","101"
"87704","96"
"87705","1"
"87706","101"
"87707","101"
"87708","1"
"87709","1"
"87710","1"
"87711","1"
"87712","103"
"87713","1"
"87714","1"
"87716","1"
"87718","101"
"87719","101"
"87720","128"
"87721","1"
"87722","1"
"87723","8"
"87724","1"
"87725","1"
"87726","101"
"87727","101"
"87728","1"
"87729","1"
"87730","1"
"87731","8"
"87732","1"
"87734","1"
"87737","101"
"87738","101"
"87740","101"
"87741","111"
"87742","101"
"87743","6"
"87744","1"
"87745","1"
"87746","1"
"87748","18"
"87749","1"
"87750","1"
"87751","89"
"87752","1"
"87753","1"
"87754","1"
"87757","101"
"87758","101"
"87761","1"
"87762","1"
"87765","1"
"87766","101"
"87767","32"
"87771","1"
"87772","1"
"-1","1"
"2","101"
"3","101"
"4","101"
"5","101"
"6","721"
"7","1046"
"8","908"
"9","397"
"10","3146"
"12","101"
"13","2126"
"14","2882"
"15","213"
"16","101"
"18","3229"
"19","2145"
"20","21946"
"21","243"
"22","382"
"23","359"
"27","867"
"28","101"
"29","1329"
"30","661"
"31","159"
"32","101"
"33","519"
"34","2422"
"35","2865"
"36","101"
"37","1015"
"38","183"
"40","325"
"41","173"
"42","151"
"43","472"
"44","196"
"45","150"
"47","3916"
"48","645"
"49","101"
"50","245"
"51","28837"
"52","101"
"53","143"
"54","101"
"55","3612"
"56","359"
"57","101"
"58","168"
"59","101"
"60","101"
"61","101"
"62","132"
"63","101"
"64","116"
"65","141"
"66","51"
"67","186"
"68","336"
"69","193"
"70","286"
"72","118"
"73","1968"
"74","26"
"75","101"
"77","101"
"78","101"
"79","716"
"81","11"
"82","209"
"83","264"
"85","101"
"86","101"
"87","101"
"88","346"
"89","539"
"90","101"
"91","178"
"92","141"
"93","960"
"94","637"
"95","101"
"96","1990"
"97","653"
"98","221"
"100","223"
"101","2463"
"102","892"
"104","101"
"105","1"
"106","649"
"107","340"
"108","101"
"109","101"
"111","1139"
"112","101"
"113","21"
"115","222"
"116","101"
"117","293"
"118","2063"
"119","5133"
"120","1997"
"122","211"
"123","101"
"125","101"
"126","101"
"127","814"
"128","101"
"129","101"
"130","101"
"131","101"
"132","101"
"133","101"
"135","596"
"136","1525"
"137","444"
"138","1942"
"139","101"
"140","184"
"141","1645"
"142","1055"
"144","93"
"145","181"
"146","101"
"148","3882"
"150","101"
"152","101"
"153","101"
"154","5677"
"155","101"
"156","101"
"157","468"
"158","518"
"159","2175"
"160","10883"
"162","4027"
"163","1212"
"164","223"
"165","2879"
"166","101"
"167","298"
"168","275"
"169","11"
"170","240"
"171","190"
"173","101"
"174","220"
"175","101"
"176","423"
"177","267"
"178","554"
"179","211"
"181","768"
"182","1257"
"183","101"
"187","1529"
"188","271"
"189","13613"
"190","506"
"191","149"
"192","514"
"193","46"
"194","111"
"195","478"
"196","181"
"197","101"
"198","101"
"199","66"
"200","171"
"201","101"
"202","903"
"203","101"
"204","3406"
"205","356"
"208","674"
"209","31"
"210","101"
"211","1646"
"213","152"
"214","402"
"215","299"
"216","410"
"217","99"
"218","101"
"222","590"
"223","101"
"225","269"
"226","235"
"228","146"
"229","4078"
"230","101"
"231","131"
"233","178"
"234","101"
"235","187"
"237","159"
"238","101"
"239","1"
"240","585"
"241","1223"
"242","101"
"244","150"
"245","156"
"246","131"
"247","135"
"248","101"
"249","583"
"250","483"
"251","196"
"252","709"
"253","136"
"254","131"
"255","131"
"256","426"
"258","532"
"259","5181"
"260","100"
